



Year,Value
1910,-0.81
1911,-0.71
1912,-1.1
1913,-0.28
1914,-0.57
1915,-0.25
1916,-0.43
1917,-0.6
1918,-0.36
1919,0.19
1920,-0.56
1921,-0.55
1922,-0.02
1923,-0.61
1924,-0.37
1925,-0.16
1926,-0.24
1927,-0.6
1928,-0.4
1929,0.0
1930,0.42
1931,-0.01
1932,0.61
1933,0.15
1934,-0.27
1935,-0.14
1936,0.66
1937,0.53
1938,0.25
1939,0.25
1940,0.06
1941,0.06
1942,0.0
1943,0.37
1944,0.14
1945,0.16
1946,-0.21
1947,0.08
1948,0.18
1949,0.3
1950,-0.94
1951,0.06
1952,0.07
1953,0.38
1954,0.29
1955,0.48
1956,-0.21
1957,0.12
1958,0.49
1959,-0.15
1960,0.21
1961,0.47
1962,0.18
1963,0.17
1964,-0.65
1965,-0.46
1966,-0.35
1967,-0.1
1968,-0.88
1969,0.19
1970,0.41
1971,0.03
1972,-0.12
1973,0.37
1974,-0.59
1975,-0.28
1976,-0.19
1977,-0.23
1978,-0.25
1979,-0.23
1980,0.23
1981,0.62
1982,-0.49
1983,1.03
1984,0.6
1985,-0.48
1986,-0.23
1987,-0.25
1988,0.69
1989,0.42
1990,0.39
1991,0.74
1992,-0.73
1993,0.15
1994,0.35
1995,0.61
1996,0.18
1997,0.36
1998,1.19
1999,0.67
2000,0.52
2001,1.22
2002,0.3
2003,1.34
2004,-0.32
2005,0.62
2006,0.75
2007,0.79
2008,0.52
2009,0.24
2010,1.31
2011,1.39
2012,1.34
2013,0.99
2014,0.85
2015,0.81
2016,1.29
2017,0.74
2018,0.78
2019,0.81
2020,1.5
